Snapshotdt,ApplicationID,UPB,DPD,BKRepo_Flag,NextPaymentDate,RemainingTerm,MaturityDate,NumberOfExtensions,NumberOfPayments,FundingDate,OriginalRate,CurrentRate,OriginalPayment,CurrentPayment,PTICore,DTICore,Make,Model,ModelYr,BookValue,LTVCore,OriginalAmtFinanced,OriginalTerm,BookNewUsed,BookMileage,HighFico,BookTier,FirstPaymentDate,LastPmtDate,lastExtensionDate,ChargeoffDate,MOB,DPDBucket,MOB_Lag1,UPB_Lag1,DPD_Lag1,DPDBucket_Lag1,LoanStatus,LoanStatus2,LoanStatus2_Lag1,Vintage_M,Vintage_Q,PrepayBal,DefaultBal,DQBal
2020-01-31,10011966,12754,0,None,2020-03-03,60,2025-02-03,0,0,2020-01-23,0.21,0.21,348.06,348.06,0.1339,0.4096,KIA,OPTIMA      ,16,10025,1.27221945137157,12754,60,Used,74541,526,Tier 7,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10012087,10638.35,0,None,2020-03-13,72,2026-02-13,0,0,2020-01-24,0.1549,0.1549,229.26,229.26,0.0895,0.3912,HYUNDAI,ELANTRA     ,15,8403,1.26601808877782,10638.35,72,Used,50211,534,Tier 6,2020-03-13,43858,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10012655,18201.68,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-23,0.223,0.223,464.8,464.8,0.1131,0.3773,HYUNDAI,ELANTRA     ,19,14300,1.27284475524476,18201.68,72,Used,12098,539,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10013092,21037.1,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-23,0.2035,0.2035,512.34,512.34,0.1056,0.3022,JEEP,CHEROKEE    ,19,16913,1.24384201501803,21037.1,72,Used,17966,533,Tier 7,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10013166,10530.27,0,None,2020-03-12,72,2026-02-12,0,0,2020-01-28,0.1174,0.1174,205.25,205.25,0.0587,0.3245,MITSUBIS,OUTLANDER SP,15,9483,1.11043657070547,10530.27,72,Used,51690,582,Tier 3,2020-03-12,43860,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10013468,17368.26,0,None,2020-03-03,60,2025-02-03,0,0,2020-01-21,0.1372,0.1372,403.87,403.87,0.0493,0.432,RAM,1500 REGULAR,13,12119,1.43314299859724,17368.26,60,Used,77142,661,Tier 0,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10013525,18670.11,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.1776,0.1776,426.17,426.17,0.0693,0.2563,DODGE,CHARGER     ,16,14466,1.29062007465782,18670.11,72,Used,73854,634,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10014607,30480.25,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-24,0.1617,0.1617,668.44,668.44,0.1271,0.3464,SUBARU,WRX         ,16,23100,1.31949134199134,30480.25,72,Used,57428,558,Tier 4,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10015831,28289.77,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-16,0.1633,0.1633,623.02,623.02,0.176,0.3547,AUDI,Q5          ,16,21325,1.32660117233294,28289.77,72,Used,50613,520,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10017009,15998.79,0,None,2020-02-13,66,2025-07-13,0,0,2020-01-21,0.1252,0.1252,336.58,336.58,0.0756,0.3911,GMC LIGH,SIERRA 1500 ,15,23150,0.691092440604752,15998.79,66,Used,83866,624,Tier 0,2020-02-13,43844,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10017133,12231.98,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-28,0.1871,0.1871,286.13,286.13,0.1414,0.6479,CHEVROLE,CRUZE LIMITE,16,8854,1.38152021685114,12231.98,72,Used,64764,598,Tier 2,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10017331,22729.35,0,None,2020-03-03,72,2026-02-03,0,0,2020-01-22,0.1437,0.1437,475.66,475.66,0.1065,0.5005,HYUNDAI,ELANTRA     ,20,19757,1.1504454117528,22729.35,72,New,30,528,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10017448,19542.57,0,None,2020-03-01,72,2026-02-01,0,0,2020-01-22,0.1469,0.1469,412.58,412.58,0.0617,0.4137,FORD,FUSION      ,17,15725,1.24277074721781,19542.57,72,Used,9339,550,Tier 4,2020-03-01,43846,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
2020-01-31,10017962,15098.19,0,None,2020-03-14,60,2025-02-14,0,0,2020-01-27,0.1424,0.1424,355.29,355.29,0.0855,0.2501,CHEVROLE,TRAVERSE    ,13,12075,1.25036770186335,15098.19,60,Used,77710,545,Tier 5,2020-03-14,43859,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0
